nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
COMPAGNIE PAUL LES OISEAUX,"11,000.00",
COMPAGNIE PRESENCE MICHEL CAHUZAC,"10,500.00",Locaux
COMPAGNIE REG'ART,"3,500.00",
COMPAGNIE REVOLUTION DANCE,"13,000.00",
COMPAGNIE THEATRALE L'OEIL,"17,500.00",Locaux
COMPAGNONS BATISSEURS AQUITAINE,"13,000.00",
COMPAGNONS DU TOUR DE FRANCE DES DEVOIRS UNIS,"2,100.00",
COMPETENCES EN TEMPS PARTAGE GUYENNE - CTP GUYENNE,0.00,Locaux
COMPTOIR DE LA CULTURE BRESILIENNE,0.00,Locaux
CONCORDIA AQUITAINE,"1,500.00",
CONGLOMIRA,"10,000.00",
CONGRES ET EXPOSITIONS DE BORDEAUX,"30,000.00",Communication
CONSEIL CITOYENS DE BACALAN,"2,500.00",
CONSEIL DEPARTEMENTAL DES ASSOCIATIONS FAMILIALES LAIQUES DE LA GIRONDE - CDAFAL 33,"18,000.00",
CONSEIL INTERPROFESSIONNEL DU VIN DE BORDEAUX,0.00,Communication
CONSEIL REPRESENTATIF DES INSTITUTIONS JUIVES DE FRANCE - CRIF SUD OUEST AQUITAINE,0.00,Locaux
CONSERVATOIRE DE LA LANGUE RUSSE ET DE SES FETES TRADITIONNELLES,250.00,Locaux
CONTACT AQUITAINE,"1,400.00",
CONTRÔLE Z AQUITAINE,"6,000.00",
CONVENTION NATIONALE DES AVOCATS,0.00,Matériel pour manifestations
COOP ALPHA COOPERATIVE D'ACTIVITES ET D'EMPLOI 33,"3,000.00",
CORNER,"1,000.00",
COS VILLA PIA - EHPAD LES DAMES DE LA FOI,"119,000.00",
COTRAVAUX AQUITAINE,0.00,Locaux
COULEUR COREE,"1,000.00","Matériel pour manifestations, locaux"
COULEURS GARONNE,"11,040.00",
COUPE COURT,0.00,"Matériel pour manifestations, locaux"
CRE'ART : COMPAGNIE REG'ART,0.00,Locaux
CREAF,"1,000.00",
CRESS AQUITAINE (CHAMBRE REGIONALE DE L'ECONOMIE SOCIALE ET SOLIDAIRE D'AQUITAINE),0.00,Locaux
CROIX DE GUERRE ET VALEUR MILITAIRE,400.00,
CROIX ROUGE FRANÇAISE,0.00,Matériel pour manifestations
CROIX ROUGE FRANÇAISE - DELEGATION LOCALE,0.00,Locaux
CROUS DE BORDEAUX (CENTRE REGIONAL DES OEUVRES UNIVERSITAIRES ET SCOLAIRES),"5,500.00",
CTE ETS SEXTANT AVIONIQUE,0.00,Equipements sportifs
CULTIV'ACTIONS,0.00,Matériel pour manifestations
CULTURE ET BIBLIOTHEQUES POUR TOUS DU DEPARTEMENT DE LA GIRONDE,750.00,Locaux
CULTURE HORS LIMITES,"1,000.00",
CULTURE INDISCIPLINEE,400.00,
CULTURE SOUND SYSTEM,0.00,Matériel pour manifestations
CULTURES DES ARTS CREOLES ET DU MONDE 33 (CACM33),0.00,Locaux
CULTURES DU COEUR GIRONDE,"9,000.00",
CVLR ET ASSOCIES,"1,000.00",
DADDYLOVE FILMS,0.00,Locaux
DANSE AVEC NOUS,"7,000.00","Communication, matériel pour manifestations"
DANTE ALIGHIERI,0.00,"Matériel pour manifestations, locaux"
DARRY PERIER,"5,000.00",
DE VOLTES ET D'ASSAUTS,0.00,Locaux
DEALERS DE SCIENCE,0.00,Matériel pour manifestations
DEBOUT LA FRANCE DEBOUT LA REPUBLIQUE (DLF-DLR),0.00,Locaux
DEFENSE DE LA LANGUE FRANÇAISE - ASSOCIATION DE BORDEAUX,0.00,Locaux
DEFI,"8,000.00",
DEKA-EWE,0.00,"Equipements sportifs, locaux"
"DES JARDINS, DES VOISINS","1,000.00",Matériel pour manifestations
DHAGPO BORDEAUX,0.00,Locaux
DIACONAT DE BORDEAUX,"30,000.00",Locaux
DISPARATE,"9,000.00","Matériel pour manifestations, locaux"
DIVAN D'OUEST,0.00,Locaux
DIZGUYS,0.00,Matériel pour manifestations
DOCUMENTS D'ARTISTES,"3,000.00",
DOJO,0.00,"Matériel pour manifestations, équipements sportifs"
DONNEZ-NOUS UN SOURIRE,0.00,Locaux
DOUBADIDOU,0.00,"Matériel pour manifestations, locaux"
DRAG RACING TEAM - DRT,0.00,Matériel pour manifestations
DROLE DE SCENE,150.00,
DROP DE BETON,"6,500.00",Matériel pour manifestations
DU CHIEN DANS LES DENTS,0.00,Locaux
DU SOLEIL DANS LES PIEDS,0.00,Matériel pour manifestations
DUENDE ANDALUZ,"1,500.00",
DULCENE,0.00,"Matériel pour manifestations, locaux"
DUTCH CONNECTION BORDEAUX - DCBDX ASSOCIATION,0.00,Locaux
DYSPRAXIQUE MAIS FANTASTIQUE 33 - DMF 33,0.00,Locaux
EABA (ENSEIGNEMENT ARTISTIQUE BEAUX ARTS),0.00,Locaux
EBB - ENTREPRISE BIEN-ETRE BORDEAUX,0.00,Locaux
ECHANGE NORD-SUD,"3,882.00",
ECLATS,"21,000.00","Matériel pour manifestations, locaux"
ECLORE,"8,000.00",
ECOLE CHINOISE DE BORDEAUX,0.00,Locaux
"ECOLE DE CIRQUE DE BORDEAUX, CENTRE CULTUREL DES ARTS DU CIRQUE","43,000.00",Locaux
ECOLE DE KARATE BORDELAISE,0.00,Locaux
ECOLE DES GRANDS-PARENTS EUROPEENS BORDEAUX-GIRONDE - EGPE BORDEAUX-GIRONDE,"1,551.00",Locaux
ECOLE ESSENTIALISTE,0.00,Locaux
ECOLE SUPERIEURE DE THEATRE BORDEAUX AQUITAINE - ESTBA,"118,107.65",
ECOLO CRECHE,0.00,Locaux
ECOUTE S'IL PLEUT,0.00,Locaux
ECOUTER SON CORPS,0.00,Equipements sportifs
EDITIONS DE LA CERISE,"10,100.00",
EDUCATION ET SANTE AU SENEGAL,0.00,Locaux
EICOSA,0.00,Locaux
EINSTEIN ON THE BEACH,"8,560.00",
EL SOLAR ESPANOL,200.00,
EMULATION NAUTIQUE DE BORDEAUX,"113,603.00","Equipements sportifs, locaux"
EN 3 ACTES,0.00,Locaux
EN FACE,"3,000.00",
EN MARCHE - EMA,0.00,Locaux
EN MODE EVENT (EME),0.00,Locaux
EN ROUTE POUR TRAVAILLER,"4,500.00",
EN STOP,400.00,
"ENDOFRANCE, ASSOCIATION FRANÇAISE DE LUTTE CONTRE L'ENDOMETRIOSE",0.00,Locaux
ENFANCE ET FAMILLES D'ADOPTION DE LA GIRONDE - ASSOCIATION DES FOYERS ADOPTIFS GIRONDE (EFA 33),0.00,Locaux
ENFANTS ET SANTE FRANCE AQUITAINE,0.00,Locaux
ENQUETE,"2,500.00",
ENSEMBLE ORCHESTRAL DE BORDEAUX,0.00,Locaux
ENSEMBLE ORCHESTRAL MOLTO ASSAI,0.00,Locaux
ENSEMBLE PYGMALION,"38,000.00",
ENSEMBLE UN,"9,000.00",
ENSEMBLE VOCAL DE BORDEAUX,"1,500.00",
ENSEMBLE VOCAL VARIANCE MELODIE,0.00,Locaux
ENTENTE DES GENERATIONS POUR L’EMPLOI ET L’ENTREPRISE - EGEE,"4,000.00",Locaux
ENTR-AUTRES,"10,300.00","Matériel pour manifestations, locaux"
ENTRAIDE SCOLAIRE AMICALE (ESA),0.00,Locaux
ENTREPRISE INTERMEDIAIRE DE PRODUCTION ET DE FORMATION - EIPF,"15,000.00",Locaux
ENVOL D'AQUITAINE,"14,712.00","Matériel pour manifestations, équipements sportifs"
EQUIPE SAINT VINCENT BORDEAUX CENTRE,"4,000.00",
ERE NOUVELLE DES COMPAGNONS ET ASPIRANTS EGALITAIRES CHAMBRE DE BORDEAUX,0.00,Locaux
ERNEST CIRCUIT COURT SOLIDARITE - ERNEST CCS,0.00,"Matériel pour manifestations, locaux"
ESCALES LITTERAIRES BORDEAUX AQUITAINE,"177,500.00","Communication, matériel pour manifestations, locaux"
ESCAPADE EN POLYNESIE,0.00,"Matériel pour manifestations, locaux"
ESKUALDUNEN BILTZARRA - BORDELEKO ESKUAL ETXEA ou MAISON BASQUE DE BORDEAUX,"3,800.00","Matériel pour manifestations, équipements sportifs"
ESPACE CULTUEL MUSULMAN - ECM,0.00,Equipements sportifs
ESPACE DECOUVERTE MADAGASCAR (EDM),0.00,Locaux
"ESPACES MARX AQUITAINE BORDEAUX GIRONDE - EXPLORER, CONFRONTER, INNOVER","1,250.00",Locaux
ESPRIT BASTIDE,700.00,Matériel pour manifestations
ESPRIT DE CORPS - NOM D'USAGE LA MANUFACTURE CDCN,"44,000.00",Matériel pour manifestations
ESPRIT DE QUARTIER,0.00,Matériel pour manifestations
ESSPLICITE,0.00,Locaux
ETRE ET DEVENIR,"3,000.00",
ETUDIANTS MAROCAINS DE BORDEAUX - EMB,500.00,"Matériel pour manifestations, locaux"
ETXEKOAK,0.00,Matériel pour manifestations
EUFONIA-BORDEAUX FESTIVAL-CONCOURS INTERNATIONAL DE CHANT CHORAL,"8,000.00",Matériel pour manifestations
EUROFEEL,150.00,Locaux
"EUROPEAN MENTORING & COACHING COUNCIL, L'ASSOCIATION EUROPEENNE DE COACHING - EMCC France",0.00,Locaux
EURROM,0.00,Locaux
EVEILLEZ LES BEBES,"210,000.00",
"EVER (EYES, VOICE, EARS, RHYTHM)","4,000.00",Locaux
EXPLORATION DU MOUVEMENT,0.00,Locaux
EXPLORER LE SENTIR,0.00,Locaux
EXTERIEUR NUIT,300.00,
EXTRA,"4,664.00",
FAIS ET REVE,0.00,Locaux
FAIT DE CI DE SOI,"1,500.00","Matériel pour manifestations, locaux"
FAITS DE COEUR'S,"2,000.00",
FAMILLES EN GIRONDE - FEDERATION DE LA GIRONDE,"15,500.00",Locaux
FC CARTES ET SERVICES,0.00,Equipements sportifs
FEARLESS CULTURE,"1,000.00",
FEDERATION ASSOCIATIONS DE PARENTS ELEVES ENSEIGNEMENT LIBRE DE LA GIRONDE - APEL DE LA GIRONDE,0.00,Locaux
FEDERATION DEPARTEMENTALE DU SECOURS POPULAIRE FRANCAIS,0.00,"Communication, matériel pour manifestations, locaux"
FEDERATION DES ASSOCIATIONS FAMILIALES CATHOLIQUES - AFC,750.00,
FEDERATION DES MAISONS DES LYCEENS - FDML,0.00,Locaux
FEDERATION DES PARTICULIERS EMPLOYEURS DE GIRONDE,"2,000.00",
FEDERATION DES RADIOS ASSOCIATIVES DE LA GIRONDE - FEDERA 33,"1,000.00",
FEDERATION DES SOCIETES CARNAVALESQUES DE L'AGGLOMERATION BORDELAISE,"16,000.00",
FEDERATION FRANCAISE D'ATHLETISME,0.00,Communication
"FEDERATION FRANCAISE DE JUDO JUJITSU, KENDO et DISCIPLINES ASSOCIEES (FFJDA)",0.00,Matériel pour manifestations
FEDERATION FRANCAISE DE PSYCHOTHERAPIE ET PSYCHANALYSE (FF2P),0.00,Locaux
FEDERATION FRANCAISE DES PSYCHOLOGUES ET DE PSYCHOLOGIE - FFPP,0.00,"Communication, locaux"
FEDERATION FRANCAISE RUGBY (FFR),0.00,Matériel pour manifestations
FEDERATION FREUDIENNE DE PSYCHANALYSE,0.00,Locaux
FEDERATION GIRONDE POUR LA PECHE ET LA PROTECTION DU MILIEU AQUATIQUE (FDAAPPMA DE LA GIRONDE),0.00,Locaux
FEDERATION GIRONDINE DE LA LIBRE PENSEE,0.00,Locaux
FEDERATION NATIONALE DES ANCIENS DES FORCES FRANCAISES EN ALLEMAGNE ET EN AUTRICHE,500.00,
FEDERATION PROTESTANTE DE FRANCE - POLE BORDEAUX GIRONDE,0.00,Matériel pour manifestations
FEDERATION REGIONALE D'AGRICULTURE BIOLOGIQUE NOUVELLE-AQUITAINE,0.00,Locaux
FEDERATION REGIONALE DES DECORES DU TRAVAIL NOUVELLE-AQUITAINE (FRDT),0.00,Matériel pour manifestations
FEDERATION REGIONALE DES DECORES DU TRAVAIL NOUVELLE-AQUITAINE (FRDT) - SECTION DE CAUDERAN,0.00,Locaux
FEDERATION REGIONALE DU SUD-OUEST DES CAMARADES DE COMBAT,800.00,
FEDERATION SOS RACISME GIRONDE-AQUITAINE,"3,000.00",Locaux
FEMMES INTERNATIONALES MURS BRISES,0.00,Locaux
FEMMES SOLIDAIRES DU LAC,"3,000.00",
FENETRE SUR RUE,"4,750.00",Matériel pour manifestations
FESTES BAROQUES AU PAYS DES GRAVES,0.00,Matériel pour manifestations
FESTIVAL DES ARTS DE BORDEAUX,"327,000.00","Communication, matériel pour manifestations, locaux"
FETE LE MUR BORDEAUX GIRONDE AQUITAINE,"3,000.00","Matériel pour manifestations, équipements sportifs"
FISH AND SHOES,0.00,Locaux
FITNESS FREESTYLE,0.00,Locaux
FNAC SUD-OUEST,0.00,Locaux
FOIRE AUX PLAISIRS DE BORDEAUX,0.00,"Communication, matériel pour manifestations"
FONDA SUD-OUEST,0.00,Locaux
FONDATION DE FRANCE,"6,190.00",
FONDATION MAISON DE LA GENDARMERIE,0.00,Locaux
FONDATION POUR LA CULTURE ET LES CIVILISATIONS DU VIN,0.00,Communication
FONDAUDEGEMENT VOTRE,"1,000.00",
FONDS REGIONAL D'ART CONTEMPORAIN - COLLECTION AQUITAINE (FRAC AQUITAINE),"15,000.00",Communication
FOOT BALL CLUB BORDEAUX AQUITAINE 33,"1,450.00",Equipements sportifs
FOOT EMERGENCE,0.00,Equipements sportifs
FOOTBALL CLUB DE LA PRESSE BORDELAISE - FCPB,0.00,Equipements sportifs
FOOTBALL CLUB DES GIRONDINS DE BORDEAUX - FCGB,"90,000.00",Equipements sportifs
FOOTBALL CLUB LE BON JOUET,0.00,Equipements sportifs
FOOTBALL CLUB NOBI NOBI,0.00,Equipements sportifs
FOOTBALL CLUB TROPICAL (FCT),0.00,Equipements sportifs
FOOTBALL-CLUB BORDEAUX OCEAN,0.00,Equipements sportifs
FOOTBALL-CLUB ROUGE,0.00,Equipements sportifs
FORCE FEMMES,0.00,Locaux
FORMATION SECOURS,"2,200.00",
FORRO BORDEAUX ,0.00,"Matériel pour manifestations, équipements sportifs,"
FORUM DES CULTURES ET DES TRADITIONS,0.00,Locaux
FOYER FRATERNEL ,"444,542.00","Matériel pour manifestations, équipements sportifs,"
FOYER SOCIO-EDUCATIF DU C.E.S GRAND PARC,"2,500.00",
FOYER SOCIO-EDUCATIF DU COLLEGE ALIENOR-D'AQUITAINE DE CASTILLON-LA-BATAILLE,0.00,Equipements sportifs
FRACAS,"4,000.00",
FRANCE ALZHEIMER GIRONDE,0.00,Locaux
FRANCE AMERIQUE LATINE COMITE BORDEAUX GIRONDE,0.00,Locaux
FRANCE AVC 33,0.00,Locaux
FRANCE BENEVOLAT BORDEAUX GIRONDE,"3,000.00",Locaux
FRANCE PARKINSON,0.00,Locaux
FRANCE PLUS GIRONDE,0.00,Locaux
FREEFIT CONCEPT - BORDEAUX,0.00,Locaux
FRICHE AND CHEAP,"3,000.00",
GANAPATI,0.00,Locaux
GARGANTUA,0.00,Locaux
GASP'ART,0.00,Locaux
GAZELLISSIMES,0.00,Matériel pour manifestations
"GEM ""LES NEUROFESTIFS 33""",0.00,"Matériel pour manifestations, locaux"
GENERATIONS COBAYE,0.00,Locaux
GENERATIONS TAUZIN,"2,800.00",Locaux
GESTION DU CENTRE DE LOISIRS DE LA POSTE ALEMA,"334,000.00",
GIRONDE INFIRMES MOTEURS CEREBRAUX,500.00,
GIRONDE ROUMANIE ECHANGES ET CULTURE,0.00,Locaux
GIRONDINS DE BORDEAUX BASTIDE HANDBALL CLUB ,"129,693.00","Matériel pour manifestations, équipements sportifs,"
GLOB THEATRE,"115,000.00","Matériel pour manifestations, locaux"
GO GAGNANT A L'ORAL,0.00,Locaux
GP INTENCITE CENTRE SOCIAL ET CULTUREL DU GRAND PARC,"470,044.00","Matériel pour manifestations, locaux"
GRAIN DE SABLE,500.00,Locaux
GRAINE D'ADULTE,0.00,Locaux
GRAINES DE SOLIDARITE,"3,200.00",Matériel pour manifestations
GRANDIR ENSEMBLE,"2,600.00",Locaux
GREENPEACE FRANCE - GROUPE LOCAL DE BORDEAUX,0.00,Locaux
GROUPE 33,"4,000.00",
GROUPE ANAMORPHOSE,"10,000.00",
GROUPE APACHE,"4,000.00",Locaux
GROUPE D'ACCOMPAGNEMENTS ET DE LOISIRS ADAPTES,500.00,
GROUPE KEDGE BUSINESS SCHOOL,0.00,Matériel pour manifestations
GROUPE VOCAL ARPEGE DE BORDEAUX,0.00,Matériel pour manifestations
GROUPEMENT D'INTERET PUBLIC DE LA REUSSITE EDUCATIVE DE BORDEAUX,"60,000.00",
GROUPEMENT DE BORDEAUX DES ANCIENS PORTE-DRAPEAUX VOLONTAIRES REGION MILITAIRE DEFENSE AQUITAINE,"1,000.00",
GROUPEMENT DES EDUCATEURS SANS FRONTIERES - GREF,0.00,Locaux
GROUPEMENT DES ETUDIANTS EN DENTAIRE DE BORDEAUX (GED 33),0.00,Matériel pour manifestations
"GROUPEMENT DES INTELLECTUELS, AVEUGLES OU AMBLYOPES","1,500.00",
GROUPEMENT EUROPEEN DES MAGISTRATS POUR LA MEDIATION GEMME,0.00,Locaux
GROUPEMENT POUR L'INSERTION DES HANDICAPES PHYSIQUES D'AQUITAINE - GIHP AQUITAINE,"2,500.00",Locaux
GUYENNE HANDI-NAGES,"5,000.00",Equipements sportifs
GYMNASTIQUE VOLONTAIRE BORDEAUX BASTIDE,0.00,Equipements sportifs
GYMNASTIQUE VOLONTAIRE BORDEAUX LOUCHEUR,0.00,Locaux
GYMNASTIQUE VOLONTAIRE CHAUFFOUR,0.00,Equipements sportifs
GYMNASTIQUE VOLONTAIRE DU QUARTIER SAINT NICOLAS,0.00,Locaux
GYMNASTIQUE VOLONTAIRE LESCURE,0.00,Equipements sportifs
GYMNASTIQUE VOLONTAIRE PERGOLA STEHELIN,0.00,"Equipements sportifs, locaux"
H NORD ECOQUARTIER DE BORDEAUX - H NORD,0.00,Locaux
HABAD LOUBAVITCH BORDEAUX,0.00,Matériel pour manifestations
HABITAT ET HUMANISME GIRONDE - HH33,"3,000.00",Locaux
HALEIWA,0.00,Equipements sportifs
HALTE 33,"66,000.00",
HAND TO HAND,"2,500.00",Locaux
HANDIC'APTITUDE,0.00,Locaux
HANDICAP AUTONOME,0.00,Locaux
HANDICAP INTERNATIONAL,0.00,"Matériel pour manifestations, locaux"
HAPPE:N,"22,000.00",Matériel pour manifestations
HAPPY MOMENT,0.00,Locaux
HARMONIE STRETCH ET DETENTE,0.00,Equipements sportifs
HELIOS EVENEMENTS,"1,000.00",Locaux
HEUREUX A BORDEAUX,0.00,Locaux
HISTOIRES DE CARTONS,0.00,Matériel pour manifestations
HOCKEY GARONNE SPORT,"12,041.00",Equipements sportifs
HORS BORD,"12,000.00",Matériel pour manifestations
ICRONOS ASSOCIATION DU FESTIVAL INTERNATIONAL DU FILM ARCHEOLOGIQUE,0.00,Locaux
ILOT DES MOTS,0.00,Locaux
IMAGINA MUSIC,"2,800.00",Locaux
IMPACTS 33,"3,000.00","Equipements sportifs, locaux"
IMPALA,"4,800.00",
INCROYABLES COMESTIBLES BORDEAUX,0.00,Locaux
INCUBATEUR AU FEMININ BORDEAUX AQUITAINE,"21,000.00",
INFO SECTES AQUITAINE,"2,500.00",
INFODROITS,"12,000.00",
INSTANCE REGIONALE EDUCATION ET PROMOTION DE LA SANTE NOUVELLE-AQUITAINE (IREPS NOUVELLE-AQUITAINE),0.00,Locaux
INSTITUT BERGONIE,0.00,Matériel pour manifestations
INSTITUT CULTUREL AFRICAIN (ICA),0.00,Locaux
INSTITUT DE L'ENGAGEMENT (IDE),0.00,Locaux
INSTITUT DES AFRIQUES,"1,300.00",Locaux
INSTITUT DON BOSCO,"1,550.00","Matériel pour manifestations, équipements sportifs"
INSTITUT FRANCAIS,"25,000.00",
INSTITUT MICHEL MONTAIGNE,0.00,Locaux
INSTITUT SUPERIEUR EUROPEEN DE FORMATION PAR ALTERNANCE ET CONTINUE (ISEFAC) BACHELOR BORDEAUX,0.00,Matériel pour manifestations
INTERIEUR NUIT,"4,000.00",
INTERLUDE,"481,561.00","Matériel pour manifestations, locaux"
INTERNATIONAL CLUB OF BORDEAUX (ICB),500.00,
INTERNATIONAL COACH FEDERATION FRANCE (ICFF),0.00,Locaux
INTERNATIONAL NATURAL VANILLA ORGANISATION (INVO),0.00,Locaux
"IPPO (INFORMATION, PREVENTION, PROXIMITE, ORIENTATION)","19,500.00","Matériel pour manifestations, locaux"
IRON SPORT BORDEAUX,0.00,Equipements sportifs
ISIC RIDER,300.00,Locaux
ISIS EST AU 106,"3,500.00",
ITINERAIRES DES PHOTOGRAPHES VOYAGEURS,"18,000.00","Communication, locaux"
IUFN,"10,000.00",
J'ADORE CE QUE VOUS FAITES,"4,000.00",Locaux
J'AI PAS TOUT COMPRIS,0.00,Locaux
JE CHERCHE UN JOB,"2,000.00",Locaux
JEUNE BALLET D'AQUITAINE,0.00,"Matériel pour manifestations, locaux"
JEUNE CHAMBRE ECONOMIQUE DE BORDEAUX,"3,300.00",
JEUNE ORCHESTRE SYMPHONIQUE DE L'ENTRE-DEUX-MERS (JOSEM),0.00,Locaux
JEUNES MUSULMANS DE LA GIRONDE - JMG,"4,000.00","Matériel pour manifestations, locaux"
JEUNES SCIENCE BORDEAUX,"10,533.00",Locaux
JEUNESSE NOUVEAU REGARD (JNR),0.00,Locaux
JEUX DE MOT,400.00,
JSA BORDEAUX METROPOLE BASKET,"50,000.00",Equipements sportifs
JUDO CLUB BACALANAIS,"3,000.00",
JUDO-CLUB GIRONDIN OMNISPORTS,0.00,Equipements sportifs
"KAIZOKU, CINEBAT'EAU",0.00,Matériel pour manifestations
KALINA'GO,0.00,Locaux
KALOS,"1,000.00",
KAN-KRA TEAM,"2,000.00",Equipements sportifs
KARAVAN BORDELAISE,0.00,Locaux
KER PHILIA,0.00,Locaux
KI E KI,0.00,Locaux
KILOMBO KINTWADI,0.00,Locaux
KINO SESSION,"2,000.00","Matériel pour manifestations, locaux"
KIZOINDESIGN,0.00,Matériel pour manifestations
KUNG-FU WUSHU ACADEMIE (KFWA),0.00,Equipements sportifs
L'A COSMOPOLITAINE « COSMODANCE »,"1,500.00",Matériel pour manifestations
L'ADAPT,0.00,Locaux
L'AGENCE CREATIVE,"45,000.00","Matériel pour manifestations, locaux"
L'AGENCE DE GEOGRAPHIE AFFECTIVE,"7,000.00",Locaux
L'AIGLON CENTRE DE JEUNESSE,"1,700.00",Matériel pour manifestations
L'AMICALE DES CHINOIS DU SUD-OUEST (ADCSO),0.00,"Matériel pour manifestations, locaux"
L'ARBRE DE VIE,"3,000.00",
L'ART & SCENE,0.00,Matériel pour manifestations
L'ASSEMBLEE CREATIVE,"10,000.00",Locaux
L'ASSO POINCARE,860.00,
L'ASSOCIATION DE LA REVUE,0.00,Locaux
L'ASSOCIATION DES BISSAU-GUINEENS,0.00,Locaux
L'ASSOCIATION SLAVE,0.00,Matériel pour manifestations
L'ATELIER BUDGETAIRE,500.00,
L'ATELIER CHOREGRAPHIQUE,0.00,Locaux
L'ATELIER DES BAINS DOUCHES,"4,000.00",
L'ATELIER REMUMENAGE,"16,000.00",Locaux
L'ATEUL,0.00,Matériel pour manifestations
L'AUTRE - ASSOCIATION DES ETUDIANTS EN ANTHROPOLOGIE SOCIALE ET CULTURELLE,0.00,Locaux
L'AUTRE CERCLE AQUITAINE,0.00,Locaux
L'AVENTURE PEUGEOT CITROEN DS,0.00,Matériel pour manifestations
L'ECOLE DU BONHEUR,0.00,Locaux
L'EPICERIE,"23,000.00",Locaux
L'ESPRIT DU PIANO,"4,500.00","Communication, matériel pour manifestations"
L'ESSENCE DE VIE (EDV),0.00,Locaux
L'ESTEY,0.00,Locaux
L'ILE AUX ENFANTS,500.00,
L'INCONGRU,"2,500.00",
L'OLYMPIQUE-CLUB BORDELAIS - OCB,0.00,Equipements sportifs
L'ORANGEADE,"2,000.00",Matériel pour manifestations
L'OSTAU OCCITAN (SECTION DE L'INSTITUT D'ETUDES OCCITANES POUR LE DEPARTEMENT DE LA GIRONDE),0.00,"Matériel pour manifestations, locaux"
L'OUMIGMAG,"8,000.00",Matériel pour manifestations
L'OUTIL EN MAIN DE LA GIRONDE,500.00,
L'OUVRE BOITE,"1,500.00",
LA BELLE ENDORMIE,"2,000.00",Matériel pour manifestations
LA BELLE ESTAMPE,0.00,Locaux
LA BOITE A JOUER,"18,000.00",Locaux
LA BOITE A SEL,"3,000.00",
LA BOITE DE OUF,"8,000.00",Locaux
LA CABANE A GRATTER,"4,000.00",Locaux
LA CAISSE A OUTILS,"57,357.00",
LA CASE,"5,000.00",
LA CHIFFONNE RIT,0.00,Matériel pour manifestations
LA CIGOGNE - COORDINATION INDEPENDANTE GIRONDINE D'ASSISTANTES MATERNELLES,0.00,Locaux
LA CLE DES ONDES,0.00,Locaux
LA CLE DU QUAI,0.00,Locaux
LA COMA,"13,000.00",
LA COMEDIE TRIBALE - LCT,0.00,Locaux
LA COMPAGNIE ADN,"2,000.00",Matériel pour manifestations
LA COMPAGNIE BOUGRELAS,"4,000.00",
LA COMPAGNIE CHRONIQUE,0.00,Locaux
LA COMPAGNIE DES 3M,0.00,Locaux
LA COMPAGNIE DES SONGES,0.00,Locaux
LA COMPAGNIE DES... CURIOSITES!,0.00,Locaux
LA COMPAGNIE DU REFECTOIRE - THEATRE D'ECHANGES INTERNATIONAUX,"6,300.00",Locaux
LA COMPAGNIE GARONOTES,0.00,Locaux
LA COMPAGNIE « LES FOUS DE LA RAMPE »,0.00,Locaux
LA DAME A LA LICORNE,0.00,Locaux
LA FABRIQUE OPERA BORDEAUX AQUITAINE,0.00,Matériel pour manifestations
LA FABRIQUE POLA,"27,000.00","Matériel pour manifestations, locaux"
LA FLAMBEE,0.00,Locaux
LA FLECHE DE BORDEAUX ,"8,900.00","Matériel pour manifestations, équipements sportifs,"
LA GROSSE SITUATION,"10,000.00",
LA GYM SUEDOISE BORDEAUX,650.00,"Equipements sportifs, locaux"
LA HALLE DES DOUVES,"74,000.00","Matériel pour manifestations, locaux"
LA KAHUTABAM,0.00,Matériel pour manifestations
LA LIBELLULE,0.00,Locaux
LA LIGUE DE L'ENSEIGNEMENT - FEDERATION OEUVRES LAIQUES DE LA GIRONDE,0.00,"Matériel pour manifestations, équipements sportifs,"
LA MAIN A L’OREILLE,0.00,"Matériel pour manifestations, locaux"
LA MAISON DE SOI,0.00,Locaux
LA MAISON DES FAMILLES DE BORDEAUX,"11,500.00",Locaux
LA MAISON DU DIABETE ET DE LA NUTRITION,"3,000.00",
LA MANIF POUR TOUS 33,0.00,Locaux
LA MANNE EUROPE,"2,500.00","Matériel pour manifestations, locaux"
LA MANUFACTURE ATLANTIQUE,"190,000.00","Communication, matériel pour manifestations, locaux"
LA MARGE ROUSSE,0.00,Locaux
LA MARMAILLE,0.00,Locaux
LA MEMOIRE DE BORDEAUX METROPOLE,"51,819.78",Locaux
LA MIEL,0.00,Locaux
LA NUIT VENUE,0.00,Matériel informatique
LA PLUME ET L'OREILLE,0.00,Locaux
LA PLUME ET LE CRAYON,0.00,Locaux
LA POLKA,"12,000.00",
LA PREVENTION ROUTIERE,"2,200.00","Matériel pour manifestations, locaux"
LA RESERVE,"4,000.00",Locaux
LA RONDE DES QUARTIERS DE BORDEAUX,"121,000.00","Communication, matériel pour manifestations, locaux"
LA ROUTE DES VINS,0.00,"Matériel pour manifestations, équipements sportifs"
LA TRAVERSEE,"1,000.00",
LA TRIBALE DEMARCHE,"4,000.00",Matériel pour manifestations
LA TRIBU DU CHANGEMENT,0.00,Matériel pour manifestations
LA TROISIEME PORTE A GAUCHE,"4,000.00",Locaux
LA VIE A DOMICILE - MAISON DE LA SANTE ET DES AIDANTS,0.00,Locaux
LA VOLIERE,0.00,"Matériel pour manifestations, locaux"
LABE'ART,0.00,Matériel pour manifestations
LAC 2 SPORTS SCOLAIRES,480.00,
