Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2017,AIDE AUX PARENTS D'ENFANTS SOUFFRANT DU SYNDROME DE L'ANTI-CONVULSIVANT (APESAC),0,Locaux
2017,AIDES AQUITAINE,2000,
2017,AIDOMI,0,Locaux
2017,AIGUILLES ET CALAME,0,Locaux
2017,AIKIDO BORDEAUX BASTIDE,0,Equipements sportifs
2017,AIM ACTIONS INTER MEDIATION,25000,
2017,AIR 3 (AIR CUBE),0,Locaux
2017,AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),9000,"Equipements sportifs, locaux"
2017,AKELIO ACCOMPAGNEMENT (RESEAU JEUNESSE OUTRE MER),0,Locaux
2017,ALCHIMYSTIK EVENTS,550,
2017,ALGERIENS DE L'AQUITAINE,0,Locaux
2017,"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA VIE...",5000,"Matériel pour manifestations, locaux"
2017,ALLO AMIANTE,0,Matériel pour manifestations
2017,ALPHONSE,0,Matériel pour manifestations
2017,ALTAIR (ASSOCIATION LES TERRITOIRES DE L'ART DE L'INDIVIDU DE LA RELATION),1000,
2017,ALTERNATIVE URBAINE DE BORDEAUX,2000,
2017,AMADEUS,1000,
2017,AMICALE BORDELAISE TRACTION AVANT CITROEN,0,Locaux
2017,AMICALE DE MADAGASCAR (AM),0,Locaux
2017,AMICALE DES ANCIENS DE LA LEGION ETRANGERE,1000,
2017,AMICALE DES ANCIENS DE MARIE-BRIZARD - AAMB,0,Locaux
2017,AMICALE DES ANCIENS DES TROUPES DE MARINE DE BORDEAUX ET D'AQUITAINE,500,
2017,AMICALE DES ANCIENS GUERILLEROS ESPAGNOLS EN FRANCE-FFI - SECTION DE LA GIRONDE,0,Locaux
2017,AMICALE DES AVEYRONNAIS DE BORDEAUX ET GIRONDE,0,Locaux
2017,AMICALE DES ETABLISSEMENTS SCOLAIRES LAIQUES DE BACALAN - ALB,88869,"Matériel pour manifestations, équipements sportifs,"
2017,AMICALE DES IVOIRIENS VIVANT EN GIRONDE AKWABA,0,Locaux
2017,AMICALE DES LOCATAIRES DU PORT DE LA LUNE,6500,
2017,AMICALE DES PARACHUTISTES DU SUD-OUEST,300,
2017,AMICALE DES PARENTS D'ELEVES DE L'ECOLE STEHELIN,8605,
2017,AMICALE DES RETRAITES U.G.R.R. - I.S.I.C.A. DE BORDEAUX,0,Locaux
2017,AMICALE DES SAPEURS POMPIERS DU SECTEUR D'INTERVENTION DE BORDEAUX METROPOLE,0,Matériel pour manifestations
2017,AMICALE DU PATRONAGE LAIQUE ET DU CONSEIL DE PARENTS D'ELEVES DU GROUPE SCOLAIRE NUYENS,0,Matériel pour manifestations
2017,AMICALE LAIQUE BORDEAUX BENAUGE,1759,
2017,AMICALE LAIQUE BORDEAUX CENTRE,2500,"Equipements sportifs, locaux"
2017,AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD NAUJAC,389346,
2017,AMICALE LAIQUE DU GROUPE SCOLAIRE LEONARD-LENOIR - MONTAUD - NUITS,0,Equipements sportifs
2017,AMIS D'ARS ET FIDES BORDEAUX,2000,"Matériel pour manifestations, locaux"
2017,AMIS DE L'HOTEL DE LALANDE,2434.58,
2017,AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,4000,
2017,AMIS DU CAPC MUSEE,0,Matériel pour manifestations
2017,AMIS DU SCOUTISME EUROPEEN DE GIRONDE,2250,
2017,"AMITIE MULTICULTURELLE INTEGRATION SOCIO-ECONOMIQUE, PROMOTION, ANIMATION, DEVELOPPEMENT (AMISPAD)",0,Locaux
2017,AMITIES FRANCAISES,0,Locaux
2017,AMITIES GENEALOGIQUES BORDELAISES,0,Locaux
2017,AMNESTY INTERNATIONAL GROUPE 234 DE BORDEAUX CENTRE,0,Locaux
2017,AMOS,15000,
2017,ANCIENS BASTIDIENS-CLUB,0,Locaux
2017,ANIMATIONS VILLAGE SAINT-SEURIN,0,"Matériel pour manifestations, locaux"
2017,ANPAA - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET EN ADDICTOLOGIE,10000,Locaux
2017,ANTROPOLOGIA,0,Locaux
2017,APA SANTE NUTRITION,1512,
2017,APEL ASSOMPTION SAINTE CLOTIDE,700,
2017,APNEE 33,0,Equipements sportifs
2017,APOSTROPHE Z,1200,Locaux
2017,APPEL DES CENT POUR LA PAIX COLLECTIF BORDELAIS,0,"Matériel pour manifestations, locaux"
2017,APPRENDRE AVEC MONTESSORI AUJOURD'HUI,0,Locaux
2017,APPRENTISSA'JEU,1000,
2017,APSARAS,8000,
2017,AQUATIC BORDEAUX CAUDERAN CLUB - AB2C,0,"Equipements sportifs, locaux"
2017,AQUINUM - ASSOCIATION DES PROFESSIONNELS DU NUMERIQUE EN AQUITAINE,21000,
2017,AQUITAINE ACTIVE,7500,Locaux
2017,AQUITAINE AFRIQUE INITIATIVES (AQAFI),0,Locaux
2017,AQUITAINE ARTISTIQUE ANIMATION,0,Matériel pour manifestations
2017,AQUITAINE CULTURE,1000,
2017,AQUITAINE PARTAGE,2500,Matériel pour manifestations
2017,AQUITAINE SPORT POUR TOUS,0,Matériel pour manifestations
2017,AQUITEC,9000,Matériel pour manifestations
2017,ARC EN REVE,481688,"Communication, matériel pour manifestations, locaux"
2017,ARC'ANGECIEL VOYAGES,0,Locaux
2017,ARCH-EVENT,0,Matériel pour manifestations
2017,ARCHIMUSE - BORDEAUX,800,"Matériel pour manifestations, locaux"
2017,ARCHITECTURE ET MAITRE D'OUVRAGES AQUITAINE - AMO AQUITAINE,0,Locaux
2017,ARELABOR,0,Locaux
2017,ART DN,0,"Matériel pour manifestations, locaux"
2017,ART EN ACTION - TIC-TAC THEATRE,0,Locaux
2017,ART ET TECHNIQUES MIXTES,0,Locaux
2017,ART PASTEL,0,Matériel pour manifestations
2017,ART+ENTREPRISE/ARRET SUR L'IMAGE GALERIE,6000,
2017,ARTAMBUL,0,Matériel pour manifestations
2017,ARTELI,3000,
2017,ARTELIERS - ASSO REGION. TRAVAIL EXPRESSION LIBRE INADAPTES POUR EPANOUISSEMENT RECONNAISS. SOCIALE,0,"Matériel pour manifestations, locaux"
2017,ARTIMAGE,0,Locaux
2017,ARTISANS DU MONDE BORDEAUX,0,"Matériel pour manifestations, locaux"
2017,ARTQUIPAGE,0,Matériel pour manifestations
2017,ARTS ET COMMUNICATION DU MONDE - ACM,0,"Matériel pour manifestations, locaux"
2017,ARTS ET LETTRES DE FRANCE ASSOCIATION CULTURELLE INTERNATIONALE,0,"Matériel pour manifestations, locaux"
2017,ARTS ET SCIENCES,0,Locaux
2017,ARTS MARTIAUX ET BIEN ETRE,0,Equipements sportifs
2017,ARTS MARTIAUX SHAOLIN BORDEAUX,700,Equipements sportifs
2017,ARTS MARTIAUX TRADITIONNELS BORDELAIS,0,Equipements sportifs
2017,ARTYCHAUDS,0,Locaux
2017,ASC BNP PARIBAS BX TT,0,Equipements sportifs
2017,ASOBU ASSOCIATION (ASOBU),0,Locaux
2017,ASPER 33,0,Locaux
2017,ASS-TECH (ASSOCIATION DES ETUDIANTS DE TECHNIQUES DU DEVELOPPEMENT),1410,Locaux
2017,ASSIETTE EN TRANSITION,300,"Matériel pour manifestations, locaux"
2017,ASSO GAMBETTA,1728,Communication
2017,ASSO GENERALE INTERVENANTS RETRAITES POUR ACTIONS BENEVOLES COOPERATION ET DEVELOPPEMENT - AGIRabcd,0,Locaux
2017,ASSO PARENTS ELEVES ENSEIGNEMENT LIBRE SAINT-MICHEL/SAINT-GENES (APEL SAINT-MICHEL/SAINT-GENES),0,Locaux
2017,ASSOCIATION 2C.SPORTS,0,Equipements sportifs
2017,ASSOCIATION ACCORDS LIBRES,0,Matériel pour manifestations
2017,ASSOCIATION ALBERT BARRAUD,1000,
2017,ASSOCIATION ALCHIMIST,16000,Matériel pour manifestations
2017,ASSOCIATION AUDITEURS INSTITUT HAUTES ETUDES DE DEFENSE NATIONALE REGION AQUITAINE - AQUI IHEDN,800,Locaux
2017,ASSOCIATION AUTONOME DES PARENTS D'ELEVES DE BORDEAUX : ECOLES JEAN COCTEAU,2500,
2017,ASSOCIATION BI-IZARRAK (LES DEUX ETOILES),0,Locaux
2017,ASSOCIATION BORDEAUX - USA,0,Matériel pour manifestations
2017,ASSOCIATION BORDEAUX CULTURE GRAPPLING (ABC GRAPPLING),0,Equipements sportifs
2017,ASSOCIATION BORDEAUX GAMES,3220,
2017,ASSOCIATION BORDEAUX-COMPOSTELLE HOSPITALITE SAINT-JACQUES,3000,Locaux
2017,ASSOCIATION BORDEAUX-TANESSE,500,
2017,ASSOCIATION BORDELAISE DE TAEKWONDO INTERNATIONAL ATLANTICA,0,Equipements sportifs
2017,ASSOCIATION BRINS D'EVEIL,532800,
2017,ASSOCIATION BULGARE CULTURELLE - ABC,0,Locaux
2017,ASSOCIATION CLUB AMBASSADORS DE LA TRUFFE,0,Matériel pour manifestations
2017,ASSOCIATION COEXISTER,0,Locaux
2017,ASSOCIATION COMUNIDAD,0,Locaux
2017,ASSOCIATION CONTRE LA TUBERCULOSE ET LES MALADIES ENDEMIQUES - ACTUME,0,Locaux
2017,ASSOCIATION COOPERATIVE DES ETUDIANTS EN PHARMACIE DE BORDEAUX - ACEPB,0,Matériel pour manifestations
2017,ASSOCIATION CREMATISTE DE LA GIRONDE,0,Matériel pour manifestations
2017,ASSOCIATION CULTURE ET MUSIQUE DE L'ESTUAIRE,0,Locaux
2017,ASSOCIATION CULTURELLE ARMENIENNE DE BORDEAUX AQUITAINE,0,Matériel pour manifestations
2017,ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,0,Locaux
2017,ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU - ACELM,0,Locaux
2017,ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,8800,"Matériel pour manifestations, locaux"
2017,ASSOCIATION CULTURELLE ET TRADITIONNELLE DE GIRONDE - ACT 33,2700,"Matériel pour manifestations, locaux"
2017,ASSOCIATION D'AMITIE FRANCO-VIETNAMIENNE (AAFV),0,Locaux
2017,"ASSOCIATION DANSE, ANIMATION DE LA GIRONDE - ADAGE",0,Matériel pour manifestations
2017,ASSOCIATION DAVID ET JONATHAN,0,Locaux
2017,ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,0,Matériel pour manifestations
2017,ASSOCIATION DE DEFENSE DES INTERETS DU QUARTIER DE BACALAN - ADIQ,300,Locaux
2017,ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN AQUITAINE - ADMAA (ALLEZ LES FILLES),35374,"Communication, matériel pour manifestations"
2017,ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE (ADREGA),0,Locaux
2017,ASSOCIATION DE DEVELOPPEMENT NATUREL (A.D.N.),0,Locaux
2017,ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR - AFTC AVENIR,0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F. (AGEAC/CSF),522000,
2017,ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,0,Locaux
2017,ASSOCIATION DE L'ENSEIGNEMENT CATHOLIQUE DE GIRONDE,0,Locaux
2017,ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,0,Locaux
2017,ASSOCIATION DE LA RUE NOTRE DAME DES CHARTRONS,1000,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DE PREFIGURATION D'UNE PLATEFORME D'AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DE RECHERCHE CLINIQUE SUR L'ADOLESCENCE -ARCAD-,0,Locaux
2017,ASSOCIATION DE RIVERAINS BAST-ID,0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES - BORDEAUX (ASTI BORDEAUX),5000,Locaux
2017,ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX (ASEB),0,Locaux
2017,ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),4000,"Matériel pour manifestations, locaux"
2017,"ASSOCIATION DE SPORTS, DE CULTURE ET D'ENTRAIDE DE LA GIRONDE",0,Equipements sportifs
2017,ASSOCIATION DECOUVERTE VACANCES EQUILIBRE,0,Locaux
2017,ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,0,Locaux
2017,ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,400,Locaux
2017,ASSOCIATION DEPARTEMENTALE DES ANCIENS COMBATTANTS ET AMIS DE L'INDOCHINE,0,Locaux
2017,ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,0,Locaux
2017,ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L’ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEP 33,0,Locaux
2017,ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU LOGEMENT 33 - ADIL33,3030,
2017,ASSOCIATION DES AMIS D'ELIANE LAVAIL,0,Locaux
2017,ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,6782,Matériel pour manifestations
2017,ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE BORDEAUX - ACAQB,8035091,"Communication, matériel pour manifestations,"
2017,ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION BORDEAUX,0,Locaux
2017,"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC"" BORDEAUX-TALENCE",4400,
2017,ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT AMAND,10100,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,4880,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,3750,
2017,ASSOCIATION DES COMMERCANTS DE LA RUE JJ ROUSSEAU,0,
2017,ASSOCIATION DES COMMERCANTS DE LA RUE SAINT-SERNIN,450,
2017,ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,7601,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL MERIADECK,4400,
2017,ASSOCIATION DES COMMERCANTS DU GRAND PARC,9000,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER SAINT MICHEL,4500,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU LAC,4000,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER VICTOIRE,11000,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS ORNANO - GAVINIES - ST VICTOR,3500,Matériel pour manifestations
2017,ASSOCIATION DES COMMERCANTS RUE VOLTAIRE,2670,
2017,ASSOCIATION DES COREENS DE BORDEAUX (ACB),0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON DE SANTE MARIE GALENE,0,Matériel pour manifestations
2017,ASSOCIATION DES DOCKERS ET DES TRAVAILLEURS PORTUAIRES VICTIMES DE L'AMIANTE DU PORT DE BORDEAUX,0,Locaux
2017,ASSOCIATION DES DONNEURS DE VOIX,1000,Locaux
2017,ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE - REGION AQUITAINE,2500,
2017,ASSOCIATION DES ELEVES AVOCATS ALIENOR 2015 - ADEAA,0,Locaux
2017,ASSOCIATION DES ETUDIANTS ET RESSORTISSANTS MAURITANIENS DE GIRONDE (AERMG),0,Locaux
2017,ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,0,Locaux
2017,ASSOCIATION DES EXPLOITANTS QUAI DES MARQUES BORDEAUX,4400,Matériel pour manifestations
2017,ASSOCIATION DES GUIDES INTERPRETES ET CONFERENCIER D'AQUITAINE - AGICA,0,Locaux
2017,ASSOCIATION DES LOCATAIRES SEM-LM,0,Locaux
2017,ASSOCIATION DES MEDECINS RETRAITES ET DES VEUVES ALLOCATAIRES DE LA CARMF DITE AMEREVE AQUITAINE,0,Locaux
2017,ASSOCIATION DES MUSULMANS DE LA GIRONDE,0,Locaux
2017,ASSOCIATION DES OEUVRES GIRONDINES DE PROTECTION DE L'ENFANCE,0,Locaux
2017,ASSOCIATION DES OFFICIERS ET CADRES DE RESERVE DE BORDEAUX GIRONDE,0,Locaux
2017,ASSOCIATION DES PARALYSES DE FRANCE - APF,3200,Matériel pour manifestations
2017,ASSOCIATION DES PARENTS ET FUTURS PARENTS GAYS ET LESBIENS APGL,0,Locaux
2017,ASSOCIATION DES PIEGEURS DE LA PRESQU'ILE D'AMBES,0,Matériel pour manifestations
2017,ASSOCIATION DES PRODUCTEURS DE GRAVES DE VAYRES,0,Matériel pour manifestations
2017,ASSOCIATION DES PROFESSIONNELS AQUITAINS DE LA COMMUNICATION (APACOM),0,Locaux
2017,ASSOCIATION DES PSYCHOMOTRICIENS DE LA GIRONDE,0,Locaux
2017,ASSOCIATION DES RETRAITES IRSEA D'AQUITAINE (A.R.I.A.).,0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION DES RIVERAINS DE L'IMPASSE GOURDIN,1000,Locaux
2017,ASSOCIATION DES RIVERAINS DU QUARTIER ORNANO-GAVINIES,1000,Matériel pour manifestations
2017,ASSOCIATION DES RIVERAINS DU QUARTIER SAINT GENES,0,Matériel pour manifestations
2017,ASSOCIATION DORSA BARLOW,7000,
2017,ASSOCIATION DU COMITE DES OEUVRES SOCIALES DES MUNICIPAUX DE BORDEAUX - ACOSMB,380000,
2017,ASSOCIATION DU FLOCON A LA VAGUE,0,Matériel pour manifestations
2017,ASSOCIATION DU LIEN INTERCULTUREL FAMILIAL ET SOCIAL - ALIFS,28500,Locaux
2017,ASSOCIATION DU PARC D'ACTIVITE DE BORDEAUX NORD,2800,
2017,ASSOCIATION DU PATRIMOINE ISRAELITE D'AQUITAINE,5000,
2017,ASSOCIATION DU PERSONNEL DE L'OPERA NATIONAL DE BORDEAUX,0,Equipements sportifs
2017,ASSOCIATION DU SOUVENIR DES FUSILLES DE SOUGE,0,Matériel pour manifestations
2017,ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),0,Equipements sportifs
2017,ASSOCIATION EKOLO[GEEK],1400,
2017,ASSOCIATION ELEVES INGENIEURS ARTS METIERS PARIS-TECH CENTRE REGIONAL BORDEAUX TALENCE - AE ENSAM,0,Matériel pour manifestations
2017,ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE PIERRE,7000,Locaux
2017,ASSOCIATION ESPACE 33,1500,
2017,ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,0,Locaux
2017,ASSOCIATION FAIS ET REVE,1100,
2017,ASSOCIATION FAMILIALE LAIQUE BASTIDE,3000,
2017,ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,26600,Locaux
2017,ASSOCIATION FRANCAISE CONTRE LES MYOPATHIES - AFM,0,Communication
2017,ASSOCIATION FRANCAISE DE L'ECLAIRAGE - CENTRE REGIONAL SUD-OUEST ATLANTIQUE,0,Matériel pour manifestations
2017,ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,0,Locaux
2017,ASSOCIATION FRANCAISE DES JURISTES D'ENTREPRISE - AFJE,0,Locaux
2017,ASSOCIATION FRANCAISE DES MALADES DE LA THYROIDE,0,Locaux
2017,ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE L'EQUILIBRE - AFBRE,0,Equipements sportifs
2017,ASSOCIATION FRANCO-KURDE,0,Equipements sportifs
2017,ASSOCIATION FRANCO-TCHEQUE D'AQUITAINE,0,Matériel pour manifestations
2017,"ASSOCIATION FRANCO-VIETNAMIENNE, BORDEAUX-AQUITAINE",2000,Locaux
2017,ASSOCIATION FRANCOIS AUPETIT,0,Locaux
2017,ASSOCIATION FRERES DES HOMMES,0,Locaux
2017,ASSOCIATION GENERALE DES ENSEIGNANTS DES ECOLES ET CLASSES MATERNELLES PUBLIQUES,0,Locaux
2017,ASSOCIATION GENERALE DES LOCATAIRES,0,Locaux
2017,ASSOCIATION GENERATION DUPATY,10623,Equipements sportifs
2017,ASSOCIATION GESTION CENTRES PSYCHANALYTIQUES DE CONSULTATIONS ET DE TRAITEMENT (CPCT) D'AQUITAINE,3000,Locaux
2017,ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE PREVENTION SOCIALE - AGEP,45000,Locaux
2017,ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT - LOISIRS (AGAP - SPORT - LOISIRS),0,Equipements sportifs
2017,ASSOCIATION GIRONDINE DES INFIRMES MOTEURS CEREBRAUX - AGIMC,0,Locaux
2017,ASSOCIATION GIRONDINE POUR L'AGRICULTURE PAYSANE (AGAP),0,Locaux
2017,ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE BORDEAUX - IEGB,0,Locaux
2017,ASSOCIATION HABILITEE DES JEUNES SAPEURS POMPIERS DE LA BENAUGE,1500,
2017,ASSOCIATION HORIZON CAUDERAN,0,Matériel pour manifestations
2017,ASSOCIATION INDEPENDANTE DE PARENTS D'ELEVES DU GROUPE SCOLAIRE FLORNOY,0,Locaux
2017,"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE DEVELOPPEMENT ET LA PAIX (AICDP)",0,Locaux
2017,ASSOCIATION JEUNESSE FUTSAL (A.J.F.),0,Equipements sportifs
2017,ASSOCIATION JUDAIQUE ST SEURIN,4400,
2017,ASSOCIATION LA COCCINELLE,180000,
2017,ASSOCIATION LABA-JOUR,3600,Matériel pour manifestations
2017,ASSOCIATION LAIQUE DU PRADO (ALP),55000,Locaux
2017,ASSOCIATION LE MERLE MOQUEUR,0,"Matériel pour manifestations, locaux"
2017,ASSOCIATION LE VILLAGE BORDEAUX SUD,1600,Matériel pour manifestations
2017,ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,0,Locaux
2017,ASSOCIATION LES CREANTS,0,Locaux
2017,ASSOCIATION LES Z ARPETES,3000,
2017,ASSOCIATION LYCHORE,0,Locaux
2017,ASSOCIATION LYONNAISE PREVOYANCE DES TRAVAILLEURS INDEPENDANTS DES ISOLES ET DES SALARIES - ALPTIS,0,Locaux
2017,ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,1000,
2017,ASSOCIATION MALINE,0,Locaux
2017,ASSOCIATION MARIE DE LUZE,0,Locaux
2017,ASSOCIATION MEMBRES DE LA LEGION D'HONNEUR DECORES AU PERIL DE LEUR VIE SECTION AQUITAINE OUEST,500,
2017,ASSOCIATION MUSICALARUE,0,Matériel pour manifestations
2017,ASSOCIATION MUSICALE ORCHESTRE JEAN-CLAUDE FRANCOIS,1700,
2017,ASSOCIATION NATIONALE DES AMIS DE JEAN MOULIN,1500,Locaux
2017,ASSOCIATION NATIONALE DES HOSPITALIERS RETRAITES,0,Locaux
2017,ASSOCIATION NATIONALE DES JEUNES ENTREPRENEURS D AQUITAINE,3000,
2017,ASSOCIATION NATIONALE DES PUERICULTRICES DIPLOMEES ET DES ETUDIANTES - ANPDE,0,Locaux
2017,"ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE, DE FRANCE TELECOM ET DE LEURS FILIALES ANR",0,Locaux
2017,ASSOCIATION NATIONALE DES VISITEURS DE PRISON - ANVP,300,
2017,ASSOCIATION NATIONALE LE REFUGE,3000,Locaux
2017,ASSOCIATION NATIONALE MEMBRES ORDRE NATIONAL DU MERITE - SECTION DEPARTEMENTALE DE LA GIRONDE,0,Locaux
2017,ASSOCIATION NATIONALE POUR LES ENFANTS INTELLECTUELLEMENT PRECOCES DE L'AQUITAINE - ANPEIP,0,Locaux
2017,ASSOCIATION NATIONALE VILLES ET PAYS ART ET HISTOIRE ET DES VILLES SECTEURS SAUVEGARDES ET PROTEGES,0,Locaux
2017,ASSOCIATION NOUVELLE ACROPOLE BORDEAUX - ANAB,0,Locaux
2017,ASSOCIATION OSTEOPATHE ET PERINATALITE,0,Locaux
2017,ASSOCIATION OXYGENE,3000,"Matériel pour manifestations, locaux"
2017,ASSOCIATION PALLIA PLUS,2500,Locaux
2017,ASSOCIATION PAROLE BEGAIEMENT - APB - DELEGATION DEPARTEMENTALE,0,Locaux
2017,ASSOCIATION PATRONAGE ECOLES LAIQUES ST BRUNO,1000,
2017,ASSOCIATION PEDAGOGIQUE DE L'ECOLE BEL AIR - APEBA,336,
2017,ASSOCIATION PETITE ENFANCE ENFANCE ET FAMILLE - APEEF,1691826,Locaux
2017,ASSOCIATION PETITS BOUCHONS,310000,
2017,ASSOCIATION PITCHOUN,1815900,Locaux
2017,ASSOCIATION POUR L'ANIMATION ET LES LOISIRS DES PERSONNES AGEES - APALPA,1000,Matériel pour manifestations
2017,ASSOCIATION POUR L'ENTRAIDE CONTRE LA RECHUTE DE DEPRESSION - AERD,0,Locaux
2017,ASSOCIATION POUR L'ETUDE ET LA PREVENTION DU SUICIDE EN AQUITAINE,2000,
2017,ASSOCIATION POUR L'INNOVATION EN MATIERE D'INTEGRATION - APIMI,380000,Locaux
2017,ASSOCIATION POUR LA DEFENSE DE LA FAMILLE ET DE L'INDIVIDU (ADFI),0,Locaux
2017,ASSOCIATION POUR LA FORMATION ET L'EDUCATION PERMANENTE DE TIVOLI - AFEPT,0,Locaux
2017,"ASSOCIATION POUR LA JEUNESSE, LES INITIATIVES ET LE RESEAU DE L'ENGAGEMENT - AJIRE",1500,
2017,ASSOCIATION POUR LA MEDIATION FAMILIALE - APMF,0,Locaux
2017,ASSOCIATION POUR LA PREVENTION DU HANDICAP DU AUX TROUBLES DU SOMMEIL ET DE LA VIGILANCE (UP2SV),0,Locaux
2017,ASSOCIATION POUR LA READAPTATION ET L'INTEGRATION - ARI,0,"Equipements sportifs, locaux"
2017,ASSOCIATION POUR LA RECHERCHE CLINIQUE DE BORDEAUX NORD - ARCBN,0,Locaux
2017,ASSOCIATION POUR LA SURVEILLANCE DE LA QUALITE DE L'AIR EN AQUITAINE (AIRAQ),0,Locaux
2017,ASSOCIATION POUR LE DON DE SANG BENEVOLE DE BORDEAUX ET ENVIRONS,0,Locaux
2017,ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE - ADIE,0,Matériel pour manifestations
2017,ASSOCIATION POUR UNE EDUCATION BUISSONNIERE (- APEB),23606,Equipements sportifs
2017,ASSOCIATION POUR VALORISATION EN RELATION AVEC PROFESSIONNELS - REGION AQUITAINE - AVARAP AQUITAINE,0,Locaux
2017,ASSOCIATION PRENDRE SOIN DU LIEN - APSL,2500,Matériel pour manifestations
2017,ASSOCIATION PROMOTION DU GRAND SAINT-MICHEL,3500,
2017,ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE - APIS,36821,"Matériel pour manifestations, équipements sportifs"
2017,ASSOCIATION PSYCHANALITIQUE DES THERAPEUTES FAMILIAUX D'AQUITAINE - APSYFA,0,Locaux
2017,ASSOCIATION PUCEART,500,
2017,ASSOCIATION RAYMONDE ROUSSELLE,4000,
2017,ASSOCIATION REGIONALE D'AQUITAINE DES CENTRES D'ENTRAINEMENTS AUX METHODES D'EDUCATION ACTIVE,0,Locaux
